width,time_map_us,time_list_us,nodes_in_g
10,140,308,11
20,65,289,21
30,66,288,31
40,68,284,41
50,65,286,51
60,66,290,61
70,67,285,71
80,68,286,81
90,68,288,91
100,68,307,101
110,74,318,111
120,66,289,121
130,66,343,131
140,97,324,141
150,72,289,151
160,67,287,161
170,67,286,171
180,67,286,181
190,68,284,191
200,68,287,201
210,68,287,211
220,68,300,221
230,71,287,231
240,70,284,241
250,69,285,251
260,71,285,261
270,71,299,271
280,72,286,281
290,71,288,291
300,71,287,301
310,72,287,311
320,73,285,321
330,86,303,331
340,73,310,341
350,73,303,351
360,78,300,361
370,74,294,371
380,76,284,381
390,74,295,391
400,77,285,401
410,75,285,411
420,78,287,421
430,79,291,431
440,80,285,441
450,79,286,451
460,77,290,461
470,81,285,471
480,80,283,481
490,79,286,491
500,79,287,501
510,81,284,511
520,80,285,521
530,81,287,531
540,83,284,541
550,81,284,551
560,82,290,561
570,84,286,571
580,82,285,581
590,83,285,591
600,83,291,601
610,84,286,611
620,84,292,621
630,85,289,631
640,86,286,641
650,84,286,651
660,85,287,661
670,86,285,671
680,84,298,681
690,86,353,691
700,87,288,701
710,88,292,711
720,87,292,721
730,88,287,731
740,89,290,741
750,90,284,751
760,88,286,761
770,89,285,771
780,90,284,781
790,88,284,791
800,90,285,801
810,90,286,811
820,92,283,821
830,93,283,831
840,90,285,841
850,92,286,851
860,92,284,861
870,93,284,871
880,94,292,881
890,94,286,891
900,93,285,901
910,96,288,911
920,95,286,921
930,96,284,931
940,93,285,941
950,95,285,951
960,102,286,961
970,96,288,971
980,96,287,981
990,96,288,991
1000,97,283,1001
1010,97,285,1011
1020,99,287,1021
1030,98,285,1031
1040,100,284,1041
1050,99,287,1051
1060,98,285,1061
1070,100,286,1071
1080,98,289,1081
1090,101,325,1091
1100,111,358,1101
1110,132,334,1111
1120,106,296,1121
1130,103,284,1131
1140,102,304,1141
1150,102,285,1151
1160,102,285,1161
1170,111,285,1171
1180,103,315,1181
1190,112,298,1191
1200,103,304,1201
1210,143,308,1211
1220,118,309,1221
1230,119,317,1231
1240,124,327,1241
1250,106,336,1251
1260,159,337,1261
1270,119,312,1271
1280,115,324,1281
1290,116,303,1291
1300,111,301,1301
1310,109,320,1311
1320,113,334,1321
1330,128,342,1331
1340,130,364,1341
1350,135,353,1351
1360,122,341,1361
1370,127,340,1371
1380,125,325,1381
1390,126,330,1391
1400,127,334,1401
1410,126,415,1411
1420,134,352,1421
1430,148,405,1431
1440,132,361,1441
1450,228,369,1451
1460,140,355,1461
1470,129,344,1471
1480,125,356,1481
1490,135,345,1491
1500,128,323,1501
1510,127,384,1511
1520,141,343,1521
1530,139,331,1531
1540,132,322,1541
1550,127,325,1551
1560,127,313,1561
1570,124,315,1571
1580,128,356,1581
1590,137,335,1591
1600,130,348,1601
1610,145,349,1611
1620,134,321,1621
1630,134,340,1631
1640,138,326,1641
1650,138,328,1651
1660,137,321,1661
1670,132,318,1671
1680,132,344,1681
1690,136,332,1691
1700,141,336,1701
1710,144,345,1711
1720,143,417,1721
1730,145,331,1731
1740,135,320,1741
1750,135,316,1751
1760,131,310,1761
1770,134,313,1771
1780,136,310,1781
1790,133,307,1791
1800,139,308,1801
1810,138,323,1811
1820,141,327,1821
1830,155,330,1831
1840,140,335,1841
1850,142,321,1851
1860,141,348,1861
1870,165,453,1871
1880,224,420,1881
1890,174,342,1891
1900,149,324,1901
1910,143,313,1911
1920,140,310,1921
1930,141,312,1931
1940,139,308,1941
1950,148,312,1951
1960,147,310,1961
1970,141,310,1971
1980,140,310,1981
1990,218,356,1991
2000,152,331,2001
2010,146,323,2011
2020,149,318,2021
2030,148,315,2031
2040,152,317,2041
2050,153,323,2051
2060,156,317,2061
2070,152,323,2071
2080,150,315,2081
2090,148,312,2091
2100,146,323,2101
2110,146,307,2111
2120,150,309,2121
2130,152,310,2131
2140,154,316,2141
2150,158,310,2151
2160,150,308,2161
2170,152,312,2171
2180,150,309,2181
2190,156,361,2191
2200,193,390,2201
2210,203,578,2211
2220,237,411,2221
2230,192,373,2231
2240,183,356,2241
2250,181,365,2251
2260,165,323,2261
2270,160,322,2271
2280,159,319,2281
2290,170,336,2291
2300,173,337,2301
2310,162,320,2311
2320,165,309,2321
2330,157,309,2331
2340,156,308,2341
2350,165,311,2351
2360,157,306,2361
2370,160,307,2371
2380,161,307,2381
2390,159,308,2391
2400,163,308,2401
2410,161,307,2411
2420,162,307,2421
2430,161,307,2431
2440,164,306,2441
2450,167,307,2451
2460,165,306,2461
2470,164,306,2471
2480,166,306,2481
2490,164,306,2491
2500,165,307,2501
2510,166,307,2511
2520,165,306,2521
2530,167,307,2531
2540,167,307,2541
2550,166,311,2551
2560,168,307,2561
2570,169,307,2571
2580,170,306,2581
2590,169,307,2591
2600,170,306,2601
2610,171,307,2611
2620,172,308,2621
2630,172,309,2631
2640,173,307,2641
2650,173,306,2651
2660,174,306,2661
2670,175,306,2671
2680,174,306,2681
2690,175,308,2691
2700,174,307,2701
2710,175,308,2711
2720,175,307,2721
2730,177,307,2731
2740,176,307,2741
2750,178,307,2751
2760,178,309,2761
2770,179,309,2771
2780,181,308,2781
2790,179,308,2791
2800,181,308,2801
2810,181,306,2811
2820,180,307,2821
2830,181,307,2831
2840,185,307,2841
2850,182,310,2851
2860,186,310,2861
2870,188,308,2871
2880,184,306,2881
2890,185,305,2891
2900,185,307,2901
2910,188,308,2911
2920,189,307,2921
2930,187,307,2931
2940,188,307,2941
2950,188,307,2951
2960,188,307,2961
2970,194,307,2971
2980,189,307,2981
2990,192,308,2991
3000,193,307,3001
3010,191,308,3011
3020,195,307,3021
3030,197,323,3031
3040,199,313,3041
3050,195,310,3051
3060,194,309,3061
3070,201,342,3071
3080,207,321,3081
3090,202,313,3091
3100,196,311,3101
3110,198,309,3111
3120,196,306,3121
3130,198,307,3131
3140,199,306,3141
3150,199,307,3151
3160,199,307,3161
3170,201,310,3171
3180,200,306,3181
3190,201,310,3191
3200,210,311,3201
3210,202,308,3211
3220,203,310,3221
3230,205,308,3231
3240,282,323,3241
3250,210,318,3251
3260,210,310,3261
3270,210,308,3271
3280,205,308,3281
3290,205,307,3291
3300,210,309,3301
3310,212,309,3311
3320,208,311,3321
3330,214,309,3331
3340,210,312,3341
3350,213,315,3351
3360,217,310,3361
3370,211,307,3371
3380,212,313,3381
3390,221,308,3391
3400,215,308,3401
3410,216,308,3411
3420,213,307,3421
3430,213,308,3431
3440,221,311,3441
3450,221,309,3451
3460,214,308,3461
3470,223,309,3471
3480,217,307,3481
3490,218,308,3491
3500,221,308,3501
3510,217,309,3511
3520,221,309,3521
3530,224,308,3531
3540,224,312,3541
3550,220,311,3551
3560,220,308,3561
3570,222,312,3571
3580,222,308,3581
3590,224,311,3591
3600,223,307,3601
3610,225,307,3611
3620,226,309,3621
3630,236,310,3631
3640,232,308,3641
3650,226,307,3651
3660,226,311,3661
3670,232,307,3671
3680,231,311,3681
3690,228,310,3691
3700,228,308,3701
3710,232,309,3711
3720,233,312,3721
3730,239,308,3731
3740,236,310,3741
3750,237,307,3751
3760,235,309,3761
3770,233,312,3771
3780,239,308,3781
3790,259,325,3791
3800,243,316,3801
3810,242,309,3811
3820,241,307,3821
3830,236,312,3831
3840,240,308,3841
3850,244,309,3851
3860,242,309,3861
3870,245,308,3871
3880,243,311,3881
3890,245,310,3891
3900,245,312,3901
3910,248,310,3911
3920,241,312,3921
3930,249,310,3931
3940,246,312,3941
3950,248,309,3951
3960,249,308,3961
3970,250,313,3971
3980,245,310,3981
3990,246,309,3991
4000,254,310,4001
